artista_id;fecha;popularidad;seguidores
4lDiJcOJ2GLCK6p9q5BgfK;04-24-2020;77;1483007
3pjq2pDV9RR6VY55wBjVnp;04-24-2020;76;651757
6h1s4i4XKIYv4ErDelLDN0;04-24-2020;84;688866
5pVRwX5ZQR7hfJ18w8ZYkl;04-24-2020;82;1374911
7B2edU3Q7btJoNsoHCNohM;04-24-2020;66;356479
5Wfvw7rDz7HA6gE2z6QhqO;04-24-2020;57;83896
2sG4zTOLvjKG1PSoOyf5Ej;04-24-2020;69;403697
6J7rw7NELJUCThPbAfyLIE;04-24-2020;64;736843
0X2BH1fck6amBIoJhDVmmJ;04-24-2020;84;7856910
0epOFNiUfyON9EYx7Tpr6V;04-24-2020;82;3195828
2JwyRtuXf2l6sTnSnGVIa1;04-24-2020;73;681079
5e1SaJPn6U7YpOrNTkW1jH;04-24-2020;47;5486
3Aut8hgiqZSy2qmJluZMU9;04-24-2020;61;27024
3Caot8EtHX6wLpNF2wRzS0;04-24-2020;59;259713
7dBCtHnpE9LRrRftcPRbJr;04-24-2020;42;1555
239Y6QdFqVFfdsw6moqSEN;04-24-2020;56;37956
7ltDVBr6mKbRvohxheJ9h1;04-24-2020;81;3195585
1H5bZEYikISQmR2qY2SASI;04-24-2020;40;2353
4fTWIwXX49PpfrhxBHfkkw;04-24-2020;48;8023
2RVvqRBon9NgaGXKfywDSs;04-24-2020;69;138650
5pDjmC5mRl7vDJhsjVwNfk;04-24-2020;72;218067
5gw5ANPCVcxU0maLiGRzzP;04-24-2020;62;65882
36jaGQtMj5UWD0eO1fCVdD;04-24-2020;65;121525
4TCXgdDPm10ensLNCVnIYa;04-24-2020;63;83464
251UrhgNbMr15NLzQ2KyKq;04-24-2020;62;96146
4obzFoKoKRHIphyHzJ35G3;04-24-2020;83;8144896
2l35CQqtYRh3d8ZIiBep4v;04-24-2020;73;765194
2WzaAvm2bBCf4pEhyuDgCY;04-24-2020;72;840134
4dpARuHxo51G3z768sgnrY;04-24-2020;84;20932818
6ydoSd3N2mwgwBHtF6K7eX;04-24-2020;78;2306354
66CXWjxzNUsdJxJ2JdwvnR;04-24-2020;92;44929025
32WkQRZEVKSzVAAYqukAEA;04-24-2020;74;2912146
6JL8zeS1NmiOftqZTRgdTz;04-24-2020;80;8935957
0gadJ2b9A4SKsB1RFkBb66;04-24-2020;76;2522743
4ScCswdRlyA23odg9thgIO;04-24-2020;79;2107964
0DxeaLnv6SyYk2DOqkLO8c;04-24-2020;70;1121520
426VSUSxx9puUYFgp7l7EQ;04-24-2020;58;47693
5cKlE8f6b26h61Ml7m052Q;04-24-2020;65;214147
1r1uxoy19fzMxunt3ONAkG;04-24-2020;71;196325
167VlZ0C0ewQbgKexRFcs6;04-24-2020;43;7612
7D8LuVnlyu91ndcPe70j7S;04-24-2020;59;107506
3uikSah4dwqwuk0EidFI4R;04-24-2020;55;24913
3WGpXCj9YhhfX11TToZcXP;04-24-2020;81;4455561
02U4dXZhGSo07f66l8JZ91;04-24-2020;57;32343
